x,PLAS_OBS,PLAS_SE
0.275,11.094,22.258
0.372,12.389,24.514
0.849,21.377,39.479
0.979,24.805,51.851
1.13,118.97,71.27
1.518,154.73,160.48
2.647,333.04,422.71
2.951,304.05,548.5
3.406,265.32,394.34
3.429,256.76,387.78
3.709,172.45,304.09
3.907,159.93,256.17
5.529,86.15,126.71
5.818,82.99,111.79
7.653,65.44,94.85
7.92,62.19,92.61
9.473,46.254,68.78
9.927,46.07,63.05
47.246,33.194,40.404
47.579,34.679,40.244
48.439,38.835,54.83
48.611,39.725,61.29
48.763,56.89,67.61
48.917,108.25,74.69
49.203,359.11,580.6
49.218,381.47,580.1
50.255,365.07,542.6
51.19,350.87,377.67
51.306,321.26,361.14
51.645,247.99,340.8
51.879,228.52,327.44
53.769,118.1,174.09
53.886,115.94,167.41
55.892,84.49,112.29
55.893,84.49,112.29
57.613,66.46,83.69
57.865,64.17,83.16
95.789,25.013,31.63
95.933,25.156,31.513
97.749,27.028,31.997
97.912,27.203,32.167
99.733,27.208,34.119
99.851,27.172,34.25
216.084,7.458,9.396
216.821,7.475,9.32
220.029,7.55,8.993
