x,ELF_MEAN,ELF_MEANPLUSSD,AM_MEAN,AM_MEANPLUSSD
2.924,0.46404,0.6097,72.7,94.97
3.314,0.474,0.62239,73.94,96.88
3.704,0.48417,0.63535,75.2,98.83
3.899,0.48934,0.64193,75.84,99.83
24.561,1.5077,1.9129,186.02,287.28
24.951,1.5401,1.9231,186.33,293.07
72.515,2.8103,3.6816,228.45,295.12
72.71,2.8117,3.6915,228.64,295.13
119.688,3.1873,4.0712,479.84,531.61
119.883,3.1674,4.0469,479.03,532.91
168.226,0.67261,0.9182,314.83,387.67
168.421,0.66842,0.9128,314.3,386.55
169.981,0.63583,0.8701,307.65,377.7
170.175,0.63187,0.8649,306.83,376.6
240.351,0.066646,0.10044,117.25,132.81
240.741,0.065819,0.09924,117.22,132.05
336.452,0.0030622,0.0052644,111.64,156.18
498.635,1.6921e-05,3.633e-05,84.46,178.37
499.025,1.6711e-05,3.5898e-05,84.4,178.43
