Sample,Time,MEAN,SD
AM,4,74000,26000
AM,28,180000,105000
AM,76,217000,64000
AM,124,464000,65000
AM,172,304000,71000
AM,244,112000,20000
AM,340,110000,40000
AM,508,82000,88000
PBM,4,58000,13000
PBM,28,120000,28000
PBM,76,110000,31000
PBM,124,107000,18000
PBM,172,77000,22000
PBM,244,47000,12000
PBM,340,21000,14000
PBM,508,0,0
ELF,4,450,150
ELF,28,1530,310
ELF,76,2670,850
ELF,124,3120,930
ELF,172,610,230
ELF,244,0,0
ELF,340,0,0
ELF,508,0,0
Serum,4,178,50
Serum,28,122,55
Serum,76,93,36
Serum,124,54,8
Serum,172,31,55
Serum,244,15,5
Serum,340,0,0
Serum,508,0,0
