x,IR_MEAN,IR_MEANPLUSSD,ER_MEAN,ER_MEANPLUSSD
1.9946,3.715,5.684,4.246,8.18
2.0155,3.726,5.701,4.307,8.272
2.0225,3.73,5.707,4.328,8.303
2.034,3.737,5.716,4.361,8.354
3.9194,4.796,7.239,9.905,16.71
3.9264,4.8,7.245,9.914,16.741
3.9334,4.804,7.251,9.924,16.749
3.934,4.804,7.251,9.925,16.749
7.9155,7.093,10.076,15.39,20.935
7.9225,7.097,10.081,15.397,20.944
7.9283,7.101,10.071,15.403,20.951
11.9256,1.978,2.881,19.754,25.759
11.9396,1.96,2.856,19.769,25.848
11.9465,1.951,2.843,19.801,25.893
11.9475,1.949,2.845,19.806,25.899
15.9008,6.797,8.946,37.987,51.196
15.9217,6.822,8.979,37.955,51.33
15.9279,6.83,8.98,37.945,51.37
15.9427,6.833,8.984,37.922,51.464
23.9279,8.37,11.084,25.474,39.415
23.9349,8.371,11.086,25.463,39.413
23.9419,8.372,11.088,25.462,39.411
23.9429,8.372,11.088,25.461,39.41
47.9292,7.315,10.599,20.682,32.233
47.9326,7.314,10.599,20.681,32.232
47.9465,7.312,10.595,20.678,32.228
47.9605,7.309,10.592,20.685,32.224
71.9372,2.664,4.427,32.602,58.952
71.9512,2.662,4.424,32.609,58.967
71.9651,2.659,4.42,32.616,58.983
71.9782,2.656,4.417,32.623,58.997
