x,Plasma_Mean,Plasma_MeanSD
0.972,0.14052,0.15978
0.984,0.14063,0.15987
4.057,0.16257,0.18318
4.083,0.16252,0.18331
6.103,0.17085,0.22048
6.116,0.17113,0.22092
12.149,0.32395,0.41329
12.172,0.32419,0.41346
23.995,0.24163,0.27433
24.006,0.24157,0.27426
48.234,0.18979,0.23225
48.253,0.18976,0.23221
60.177,0.1612,0.18195
60.24,0.16106,0.1817
72.033,0.15154,0.1708
72.045,0.15153,0.1708
96.03,0.13961,0.15885
96.079,0.13958,0.15884
108.156,0.13136,0.15998
108.174,0.13135,0.15997
120.299,0.13106,0.15016
120.324,0.13106,0.15015
156.009,0.12047,0.14706
156.027,0.12046,0.14706
