x,SR,IR
0.463,-0.00449,0.03646
0.505,0.01177,0.03873
1.023,0.21065,0.06652
1.058,0.21862,0.06841
2.006,0.43364,0.30937
2.029,0.43659,0.31499
3.001,0.56643,0.31717
3.001,0.56643,0.31717
4.033,0.58538,0.25234
4.099,0.5866,0.25008
5.958,0.66661,0.18685
6.031,0.66972,0.18461
8.012,0.49449,0.12317
8.057,0.4911,0.1218
10.076,0.33646,0.10252
12.037,0.29475,0.08379
12.063,0.29443,0.08354
23.978,0.1512,0.04267
23.997,0.15098,0.04269
47.982,0.09329,0.06689
48.041,0.09322,0.06695
48.526,0.09263,0.10298
49.036,0.09201,0.13832
50.01,0.09083,0.36499
50.968,0.08966,0.48573
52.112,0.08827,0.36228
53.953,0.08603,0.25974
56.043,0.08349,0.19369
60.081,0.07858,0.1436
72.006,0.06408,0.08758
72.046,0.06403,0.08753
96.052,0.04309,0.0553
96.059,0.04308,0.05529
120.008,0.03475,0.0406
120.015,0.03474,0.04059
