x,Plasma_Mean,Plasma_MeanSD
0.611,0.07881,0.0856
0.679,0.07908,0.08587
4.08,0.09983,0.10908
4.081,0.09985,0.1091
6.281,0.14095,0.17145
6.345,0.14184,0.17301
12.15,0.18303,0.2466
12.153,0.18304,0.24661
23.768,0.15967,0.20109
23.904,0.15932,0.20066
48.006,0.11095,0.15025
48.276,0.11049,0.14969
60.226,0.08962,0.11641
60.429,0.08927,0.1158
72.313,0.06864,0.08489
72.383,0.06852,0.08472
96.222,0.038056,0.041321
96.29,0.037998,0.041245
107.841,0.029453,0.031864
107.976,0.029302,0.031751
120.329,0.019949,0.024232
120.397,0.019927,0.02421
156.05,0.014566,0.017622
156.118,0.014559,0.017613
