x,PML_250_Mean,PML_250_MeanSE,PML_1000_Mean,PML_1000_MeanSE
47.102,6.4756,7.1519,32.501,40.411
47.459,6.4762,7.1735,32.526,40.526
47.802,6.4767,7.1944,32.549,40.637
47.996,6.477,7.2062,32.562,40.699
95.39,6.555,9.2726,35.98,48.684
95.61,6.5426,9.2553,35.996,48.532
95.919,6.5251,9.2289,36.02,48.304
95.936,6.5242,9.2274,36.021,48.291
143.292,4.3355,5.0559,17.949,22.537
143.643,4.3224,5.0471,17.856,22.5
143.792,4.3208,5.0435,17.818,22.484
143.792,4.3208,5.0434,17.818,22.484
335.329,2.7066,3.1632,14.564,17.816
335.68,2.7043,3.1602,14.558,17.806
336.017,2.7003,3.1573,14.553,17.797
336.04,2.7001,3.1571,14.553,17.797
503.462,1.2993,1.4873,7.7323,9.5719
503.632,1.2984,1.4859,7.7273,9.5635
504.002,1.2963,1.4828,7.7165,9.5452
504.006,1.2963,1.4828,7.7164,9.5451
