Sample,Dose,Time,Mean,SE
MNL,1000,1,5180.537722104095,3514.896075423111
MNL,1000,2,40571.976646400486,22951.373272726003
MNL,1000,4,57577.40554485923,14626.468074051596
MNL,1000,6,102841.9436922318,25467.960117977862
MNL,1000,9,92932.47513869978,25527.479534391157
MNL,1000,12,66687.24741937041,12964.999344388702
MNL,1000,16,56152.249041149684,15024.995824323874
MNL,1000,24,79049.2124402405,21857.742814597772
MNL,1000,48,39309.24205926361,13957.49759056153
MNL,1000,96,36138.08107923605,13448.415484471
MNL,1000,144,51340.24875662034,21666.9995731282
MNL,1000,336,10464.483706211793,4284.741626507241
MNL,1000,504,2505.961456213782,794.84308794518
MNL,250,1,7159.669745921289,5447.050303145976
MNL,250,2,8468.214515473484,6278.24453729488
MNL,250,4,14667.718027564571,6581.992360450923
MNL,250,6,18008.496494709936,4172.499970041939
MNL,250,9,22834.749842627338,6612.247151389917
MNL,250,12,18889.749386236206,6062.999463961709
MNL,250,16,13802.995453058744,2968.2456712647154
MNL,250,24,8564.76997436338,1394.2233615486366
MNL,250,48,8792.548349338855,2567.6970418320566
MNL,250,96,8332.897095635164,1872.7624585414728
MNL,250,144,9890.248878616201,4303.749571720998
MNL,250,336,1245.3989455078467,163.47428982422065
MNL,250,504,1627.2935263753045,91.84963270009831
PML,1000,1,4887.873321794954,3347.9969627216683
PML,1000,2,25039.508858557387,15624.626458464183
PML,1000,4,57909.49902220204,17772.62458008448
PML,1000,6,55178.21985545287,15145.955479172144
PML,1000,9,36910.99818504302,9031.744564208155
PML,1000,12,47879.24946019692,13160.434332885308
PML,1000,16,51621.47890923056,9280.167768721738
PML,1000,24,32704.749645500906,5899.249856977833
PML,1000,48,32534.491696141977,8033.281437320293
PML,1000,96,36004.24588637029,12447.179707301044
PML,1000,144,17860.16990333821,4640.8899739440585
PML,1000,336,14556.999295956315,3246.9983066968357
PML,1000,504,7723.121913393884,1833.2938368502046
PML,250,1,23687.40810763978,388.1241824988623
PML,250,2,4276.997895645111,2182.13242336319
PML,250,4,12236.98544143295,5542.461870097786
PML,250,6,8108.947745078332,1700.2488357081725
PML,250,9,10256.899396764833,2593.5945580962784
PML,250,12,7769.698032339034,1294.7226164672975
PML,250,16,7761.424796988289,1334.884996573944
PML,250,24,9369.524982022862,2296.474959312943
PML,250,48,6476.374978237836,704.8345179954047
PML,250,96,6536.712374676481,2709.318178330679
PML,250,144,4324.870604899465,722.5983979190569
PML,250,336,2702.8236022765946,456.6247788384972
PML,250,504,1297.5743346524619,187.1238732979899
