x,PMLC_LINE,MUSC_LINE,PLAS_LINE,SUBC_LINE
1.585,70.38,5.2845,58.02,2.7758
1.686,224.67,6.148,118.34,3.3517
1.889,2684.8,8.517,278.79,4.5342
1.926,5163.5,9.061,305.57,4.779
2.167,35179,13.354,421.78,7.04
2.192,35843,13.876,428.19,7.407
2.647,45582,24.763,429.51,13.967
2.649,45614,24.802,429.27,13.982
2.89,50476,29.526,385.34,15.593
3.371,5.766e+04,33.512,279.34,17.07
3.557,5.806e+04,34.107,241.1,17.329
4.334,5.766e+04,34.499,140.83,17.575
4.468,5.744e+04,34.382,132.54,17.536
4.575,5.725e+04,34.263,126.58,17.494
5.057,5.658e+04,33.549,104.72,17.214
5.779,5.552e+04,32.166,80.57,16.62
6.136,5.343e+04,31.417,71.14,16.278
7.224,47697,29.058,53.63,15.098
7.35,47216,28.786,52.752,14.949
8.108,44812,27.178,48.915,13.974
9.625,40998,24.234,44.092,12.024
9.632,40981,24.222,44.074,12.018
10.355,39170,23.003,42.34,11.524
11.294,36859,21.642,40.308,11.002
12.04,35210,20.742,38.75,10.64
12.507,34288,20.256,37.748,10.427
14.479,31292,18.781,33.496,9.613
14.93,30833,18.546,33.145,9.441
15.411,30457,18.322,33.011,9.263
15.845,30196,18.138,32.708,9.107
17.579,29132,17.44,30.495,8.517
18.575,28079,16.98,29.026,8.2
20.468,26000,15.819,26.23,7.639
20.851,25702,15.528,25.757,7.532
20.95,25635,15.45,25.645,7.505
21.913,25121,14.64,24.758,7.244
22.671,24705,14.006,24.265,7.047
22.876,24565,13.844,24.152,6.996
23.885,23783,13.168,22.858,6.76
24.795,23359,12.862,22.319,6.622
25.098,23446,12.877,44.152,6.669
25.25,23601,12.919,60.15,6.825
25.284,23654,12.933,64.22,6.898
25.553,24551,13.1,132.79,8.881
25.766,30282,13.337,387.92,10.529
26.007,38037,13.791,455.44,12.257
26.008,38083,13.796,455.55,12.27
26.247,46878,14.617,447.13,14.261
26.488,5.888e+04,16.24,414.87,16.613
26.615,6.316e+04,17.871,394.16,17.996
26.97,7.121e+04,35.66,333.36,21.208
27.98,8.118e+04,46.088,194.79,23.42
28.174,8.134e+04,46.361,177.27,23.433
28.415,8.107e+04,46.532,159.15,23.374
29.497,7.683e+04,46.188,107.09,22.546
30.1,7.371e+04,44.804,84.93,21.868
30.582,7.123e+04,43.522,74.81,21.263
31.318,6.776e+04,41.521,66.36,20.256
31.621,6.645e+04,40.71,64.12,19.813
32.99,6.12e+04,37.276,57.58,17.838
34.676,5.587e+04,33.708,52.827,16.447
34.807,5.552e+04,33.465,52.529,16.365
35.639,5.359e+04,32.045,50.787,15.883
36.475,52204,30.813,49.223,15.445
38.288,49680,28.724,46.218,14.596
39.973,46738,27.363,43.747,13.892
41.659,44341,26.387,41.494,13.253
42.695,43487,25.844,40.183,12.89
45.271,40336,24.174,37.014,12.083
45.512,39843,23.968,36.72,12.007
46.032,38723,23.485,36.09,11.829
