x,MUSC_OBS,MUSC_SE
0.783,3.31,2.7433
0.849,4.0299,3.3547
1.084,8.123,6.869
1.135,8.251,8.044
1.445,9.06,10.85
1.518,10.542,11.64
2.047,31.749,36.811
2.186,31.401,49.879
2.569,30.469,43.224
2.589,30.422,43.112
3.311,29.71,39.207
3.429,28.192,38.605
4.334,18.833,27.903
4.48,18.666,26.483
5.34,17.708,23.475
5.418,17.623,23.475
6.487,16.584,23.478
6.502,16.569,23.422
7.284,13.574,20.703
7.538,13.603,19.891
8.398,13.701,21.289
8.428,13.705,21.152
9.449,11.93,16.981
9.512,11.83,16.982
47.674,11.537,17.56
47.799,11.536,19.001
47.961,11.245,21.044
48.439,10.429,16.785
48.642,10.1,19.027
49.304,22.755,28.628
49.49,25.679,32.103
49.786,31.134,38.518
49.968,31.215,43.078
51.472,31.887,47.149
52.357,35.33,49.724
52.375,35.402,49.672
53.338,29.983,46.924
53.504,29.723,46.467
54.241,28.594,43.337
54.459,29.217,42.45
55.445,32.203,38.59
56.528,24.92,34.75
56.562,25.016,34.638
57.311,27.275,39.569
57.326,27.27,39.676
96.742,16.701,24.433
96.889,16.874,24.389
98.896,19.428,29.901
98.91,19.447,29.896
216.783,6.813,8.272
216.915,7.049,8.261
218.649,11.01,13.192
218.731,11.244,13.487
