x,SUBC_OBS,SUBC_SE
1.422,44.898,10.958
1.804,37.936,20.645
2.378,29.466,32.949
3.431,18.521,28.688
3.524,17.778,28.34
4.316,12.543,21.521
5.226,10.483,15.683
5.627,10.02,13.642
6.288,9.301,12.037
6.582,9.274,11.385
7.501,9.191,13.748
7.538,9.091,13.851
8.26,7.322,11.22
8.494,7.227,10.48
9.322,6.898,11.458
9.545,6.86,11.736
47.549,2.7211,3.8253
47.77,2.4511,3.8005
48.152,2.0456,2.5874
48.156,2.0419,2.6049
48.535,3.4264,5.0617
48.611,3.8047,5.453
49.108,4.7387,8.843
49.37,5.32,9.717
51.531,24.619,21.147
52.252,19.613,27.404
52.357,18.928,28.462
53.313,13.704,18.521
53.314,13.698,18.513
54.077,10.225,14.013
54.376,9.12,14.325
55.361,11.381,15.405
55.511,11.107,15.575
56.423,9.568,14.305
56.562,9.371,14.122
57.326,8.348,10.685
57.334,8.339,10.685
96.507,6.535,8.173
96.889,6.519,8.34
98.705,6.232,9.177
98.8,6.227,9.223
216.821,2.5308,2.8531
216.915,2.5289,3.004
218.827,5.582,8.579
