Sample,Time,MEAN,SE
MUSC,0.75,3.652255330614222,0.6185756542250914
MUSC,1.25,8.468056480133944,0.7745336743713371
MUSC,1.75,10.542,1.0980000000000008
MUSC,2.25,31.57452056643141,9.671382321054212
MUSC,2.75,30.445490930513834,12.722458488829897
MUSC,3.5,28.941049048021746,9.944458808804026
MUSC,4.5,18.749314067453238,8.42022505637468
MUSC,5.5,17.665448876266915,5.8093445413402724
MUSC,6.5,16.576498303320875,6.8734694296257715
MUSC,7.5,13.58849226367664,6.695308207991622
MUSC,8.5,13.702999854046558,7.517169414081341
MUSC,9.5,11.879894780678825,5.101250042881647
MUSC,48,11.438503250356696,7.609243423725303
MUSC,48.25,10.428999999999998,6.356
MUSC,48.75,10.1,8.927
MUSC,49.25,24.17282865119429,6.14232464137154
MUSC,49.75,31.174473692429835,9.359294417850096
MUSC,51.5,31.887000000000008,15.262000000000002
MUSC,52.5,35.36598167731244,14.331865893874388
MUSC,53.5,29.852716945028643,16.842211968740926
MUSC,54.5,28.903821512042324,13.967609638016098
MUSC,55.5,32.203,6.3870000000000005
MUSC,56.5,24.967953860899378,9.725443948735707
MUSC,57.5,27.2724998854157,12.349873035784624
MUSC,97,16.787277146696542,7.622727858188301
MUSC,99,19.437497678456452,10.460993117290537
MUSC,217,6.929995454543964,1.3297774249850984
MUSC,219,11.126384857625588,2.212289764022788
PLAS,0.5,11.723632798753124,11.634582072425294
PLAS,1,39.80837807944905,28.583538707385088
PLAS,1.5,154.73,5.75
PLAS,2.5,333.04,89.66999999999994
PLAS,3,304.04999999999995,244.45000000000002
PLAS,3.5,227.328307273024,130.55519830194405
PLAS,4,159.92999999999998,96.24000000000002
PLAS,6,84.55523934091842,34.17788758832237
PLAS,8,54.266628319981,24.18627574889953
PLAS,48,33.92837641267262,6.334323168263518
PLAS,48.5,39.277479234288954,18.572349743637723
PLAS,49,170.42681655115547,63.07451587722061
PLAS,50.5,365.0700000000001,177.5300000000001
PLAS,51,350.87000000000006,26.800000000000015
PLAS,51.5,282.2574487945358,60.8380045695123
PLAS,52,228.52000000000007,98.92000000000002
PLAS,54,117.01501613040955,53.68244871464044
PLAS,56,74.28065918370714,22.42461308786952
PLAS,96,25.084398099216973,6.485697263980181
PLAS,98,27.115358821155212,4.966499370784216
PLAS,100,27.18999404192652,6.994001572776489
PLAS,216,7.466495161720793,1.8909283434334583
PLAS,220,7.550000000000001,1.4430000000000005
PMLC,2,31841.242124012682,14974.453045103193
PMLC,6,23755.56959956971,15000.159299154122
PMLC,10,15987.413017746181,6621.330832997246
PMLC,48,25547.988727099433,15404.342244964551
PMLC,50,40170.88621128492,28325.349053453905
PMLC,54,36737.988554083924,12816.830068312533
PMLC,58,29422.902576054603,8116.576864664069
PMLC,96,22509.48440102526,4942.49086999663
PMLC,216,14136.998726745363,3514.4996798975544
SUBC,1.25,44.89800000000001,33.94
SUBC,1.75,37.936,17.291000000000004
SUBC,2.25,29.466,3.4829999999999974
SUBC,3.5,18.14569750657164,10.36261810547894
SUBC,4.5,12.542999999999997,8.978000000000002
SUBC,5.5,10.248885793099655,4.339861748950074
SUBC,6.5,9.28749018842012,2.4032677753425657
SUBC,7.5,9.140863252450503,4.657394121179783
SUBC,8.5,7.274344918960057,3.560926003162661
SUBC,9.5,6.878973760670991,4.715353645274127
SUBC,48,2.582573950538493,1.2206586254969078
SUBC,48.25,2.04374916269096,0.5522982889707339
SUBC,48.75,3.6105988533759876,1.6417871329743088
SUBC,49.25,5.020944532655186,4.248129835586478
SUBC,51.5,24.619000000000003,3.4720000000000013
SUBC,52.5,19.267456085326884,8.618549413909511
SUBC,53.5,13.70099967155682,4.815999896179402
SUBC,54.5,9.656707513433345,4.440331068738006
SUBC,55.5,11.24316534611139,4.240192448462687
SUBC,56.5,9.468987696686483,4.7439948355789765
SUBC,57.5,8.343498786480408,2.341495675844822
SUBC,97,6.526995097286345,1.7270778789620342
SUBC,99,6.229499498354583,2.9703905467126708
SUBC,217,2.529849821629735,0.39131155106896587
SUBC,219,5.582000000000001,2.9970000000000008
