x,SERUM_MEAN,SERUM_MEANPLUSSD,PBM_MEAN,PBM_MEANPLUSSD
4.243,0.17621,0.21335,54.503,68.94
4.405,0.1757,0.21295,54.782,69.56
4.418,0.17566,0.21292,54.804,69.61
4.582,0.17515,0.21252,55.089,70.25
28.901,0.11359,0.17808,118.71,150.74
28.983,0.11343,0.17803,119.02,150.84
29.078,0.11336,0.17798,119.38,150.97
29.285,0.11322,0.17787,119.33,151.23
77.562,0.08428,0.13361,107.78,139.89
77.589,0.08427,0.13356,107.77,139.88
77.658,0.08421,0.13343,107.75,139.84
77.836,0.08405,0.13308,107.71,139.74
123.904,0.052495,0.06259,102.77,122.3
124.078,0.052402,0.06258,102.75,122.23
124.301,0.052261,0.06256,102.73,122.15
124.619,0.052061,0.06254,102.49,122.03
170.899,0.029816,0.08324,73.36,96.79
171.585,0.029602,0.08289,73,96.36
171.601,0.029597,0.08288,72.99,96.35
171.659,0.029579,0.08285,72.96,96.31
242.747,0.014014,0.018261,45.868,58.57
242.926,0.013988,0.018173,45.815,58.5
243.27,0.013937,0.018006,45.712,58.36
243.284,0.013935,0.017999,45.708,58.35
334.92,0.0053202,0.0047922,20.006,31.666
335.11,0.0053096,0.004822,19.972,31.627
