x,IR_MEAN,IR_MEANPLUSSD,ER_MEAN,ER_MEANPLUSSD
1.813,0.014,0.0372,0.4927,1.451
1.82,0.014,0.0372,0.4933,1.4516
1.827,0.014,0.0372,0.4939,1.4522
3.9408,0.0127,0.0392,0.6871,1.6338
3.9478,0.0127,0.0392,0.6866,1.6344
3.9548,0.0127,0.0393,0.6862,1.633
7.9856,0.1286,0.2377,0.4397,0.7818
8.0137,0.1294,0.239,0.438,0.7874
8.0207,0.1296,0.2387,0.4385,0.7888
11.8198,0.0128,0.0449,0.6798,1.5404
11.8338,0.0124,0.0442,0.6789,1.5432
11.8409,0.0121,0.0449,0.6784,1.5421
15.8998,0.2157,0.4504,0.407,0.9006
15.9068,0.216,0.4511,0.4065,0.903
15.9138,0.2164,0.4518,0.4079,0.9054
15.9138,0.2164,0.4518,0.4079,0.9054
23.9895,0.1574,0.4557,1.9856,3.6658
23.9965,0.1573,0.4557,1.986,3.6682
24.0176,0.1572,0.4578,1.9871,3.6706
47.8583,1.2088,2.875,3.2275,6.4721
47.8794,1.2097,2.8771,3.2256,6.4746
47.8864,1.21,2.8763,3.225,6.4754
71.8957,-0.0092,0.0232,1.0437,2.0297
71.9098,-0.0099,0.0216,1.0425,2.0271
71.9098,-0.0099,0.0216,1.0425,2.0271
71.9379,-0.0114,0.0182,1.0399,2.0219
