Time,Sample,Obs
4,PMN,47568
4,PMN,66173
24,PMN,45382
24,PMN,30635
28,PMN,76510
28,PMN,98900
28,PMN,46425
28,PMN,32226.999999999996
48,PMN,70141
48,PMN,37693
56,PMN,73940
56,PMN,63482
56,PMN,113630
72,PMN,45899
72,PMN,37075
72,PMN,70345
80,PMN,78160
80,PMN,60231
80,PMN,51284
80,PMN,39849
96,PMN,71533
96,PMN,175160
120,PMN,57470
120,PMN,61084
120,PMN,92330
120,PMN,75830
120,PMN,40413
120,PMN,65107
120,PMN,120490
144,PMN,66206
144,PMN,79060
144,PMN,61432
144,PMN,113060
144,PMN,97070
144,PMN,82880
144,PMN,52017
168,PMN,48945
168,PMN,57964
192,PMN,44919
192,PMN,54239
192,PMN,74610
216,PMN,58139
216,PMN,48149
240,PMN,40888
240,PMN,61121
240,PMN,33675
264,PMN,47762
264,PMN,40554
0.25,Serum,60.961
0.5,Serum,233.91
0.5,Serum,91.38000000000001
0.5,Serum,71.994
0.5,Serum,50.767
0.5,Serum,41.236000000000004
0.5,Serum,246.56
0.75,Serum,20.733
0.75,Serum,144.39
1,Serum,113.44
1,Serum,295.25
1,Serum,71.994
1,Serum,30.736
1,Serum,10.083
1,Serum,90.87
1,Serum,364.5
1.5,Serum,123.97
1.5,Serum,314.69
1.5,Serum,10.083
2,Serum,112.80999999999999
2,Serum,124.66000000000001
3,Serum,185.82999999999998
3,Serum,195.33
3,Serum,206.47
3,Serum,157.35
3,Serum,92.14
3,Serum,71.597
3,Serum,61.985
5,Serum,147.63000000000002
5,Serum,61.814
6,Serum,115.35
6,Serum,175.32
6,Serum,92.14999999999999
6,Serum,71.99600000000001
6,Serum,126.05
6,Serum,52.778
6,Serum,105.26
8,Serum,72.2
8,Serum,105.26
8,Serum,83.62
8,Serum,53.219
8,Serum,31.953000000000003
12,Serum,21.375999999999998
12,Serum,42.632999999999996
12,Serum,32.042
12,Serum,52.342
16,Serum,32.043
16,Serum,42.99
16,Serum,21.615
24,Serum,33.128
24,Serum,65.70700000000001
24,Serum,30.569
24,Serum,25.387
24,Serum,20.85
24,Serum,35.506
36,Serum,54.119
36,Serum,24.152
36,Serum,39.127
36,Serum,31.780999999999995
50,Serum,46.211
50,Serum,26.689
50,Serum,34.925
50,Serum,30.319
50,Serum,21.439
50,Serum,20.171000000000003
50,Serum,49.117000000000004
50,Serum,40.453
60,Serum,59.476
60,Serum,68.89099999999999
60,Serum,49.531
60,Serum,84.58
74,Serum,18.563
74,Serum,29.823
74,Serum,28.529
74,Serum,55.497
74,Serum,25.393
74,Serum,59.644999999999996
74,Serum,30.746
74,Serum,40.010999999999996
84,Serum,95.04
84,Serum,38.49
84,Serum,47.650999999999996
84,Serum,87.45
96.25,Serum,85.54
96.25,Serum,81.83
96.25,Serum,93.21000000000001
96.25,Serum,74.67
96.25,Serum,56.122
96.25,Serum,53.538000000000004
96.25,Serum,43.246
96.25,Serum,40.800000000000004
96.25,Serum,23.564
96.25,Serum,66.464
96.25,Serum,30.411
96.25,Serum,21.503999999999998
96.25,Serum,20.514
96.25,Serum,45.333999999999996
96.25,Serum,39.138
96.25,Serum,34.933
96.25,Serum,28.139
96.25,Serum,26.844
96.25,Serum,25.965
96.25,Serum,22.355
96.25,Serum,37.648
96.25,Serum,24.226999999999997
96.25,Serum,47.259
96.25,Serum,19.461
96.25,Serum,56.434
96.25,Serum,66.464
96.25,Serum,30.326999999999998
96.25,Serum,19.3
96.25,Serum,21.326
96.25,Serum,20.457
96.5,Serum,93.72999999999999
96.5,Serum,179.32999999999998
96.5,Serum,160.06
96.75,Serum,111.93
96.75,Serum,34.357
96.75,Serum,29.092
96.75,Serum,28.062
96.75,Serum,26.918999999999997
97,Serum,25.966
97,Serum,24.294
97,Serum,86.01
97,Serum,74.88
97,Serum,19.515
97,Serum,103
97,Serum,37.44
97,Serum,23.499
97,Serum,22.047
97,Serum,179.82999999999998
97,Serum,94.52000000000001
97,Serum,20.628
97,Serum,56.435
97,Serum,54.286
97,Serum,51.358000000000004
97,Serum,47.39
97,Serum,43.247
97,Serum,160.06
97.5,Serum,66.09700000000001
97.5,Serum,45.333999999999996
97.5,Serum,232.08
97.5,Serum,214.73999999999998
97.5,Serum,223.23999999999998
98,Serum,270.31
98,Serum,297.86
98,Serum,272.57
98,Serum,255.02000000000004
99,Serum,51.358000000000004
99,Serum,44.958999999999996
99,Serum,37.028
99,Serum,42.888999999999996
99,Serum,47.391000000000005
99,Serum,92.96000000000001
99,Serum,83.2
99,Serum,228.89000000000001
99,Serum,212.97
99,Serum,103.86
99,Serum,159.17999999999998
99,Serum,190.08
99,Serum,202.04
99,Serum,145.66000000000003
99,Serum,142.47000000000003
99,Serum,132.19
100,Serum,160.51000000000002
100,Serum,228.89000000000001
100,Serum,132.56
100,Serum,82.28
100,Serum,150.18
101,Serum,213.56
101,Serum,141.29
101,Serum,113.18
101,Serum,191.67000000000002
101,Serum,205.43
101,Serum,189.56
101,Serum,150.18
101,Serum,160.51000000000002
101,Serum,142.08
101,Serum,112.87
102,Serum,231.44
102,Serum,214.15
102,Serum,133.67000000000002
102,Serum,203.73
102,Serum,82.51
102,Serum,143.26
102,Serum,133.67000000000002
102,Serum,162.3
102,Serum,148.93
102,Serum,111.94
104,Serum,85.3
104,Serum,30.837
104,Serum,92.45
104,Serum,71.04
104,Serum,55.660000000000004
104,Serum,53.541
104,Serum,37.858999999999995
104,Serum,66.283
104,Serum,80.93
104,Serum,50.094
104,Serum,48.187
104,Serum,42.653000000000006
104,Serum,59.16
108,Serum,43.974
108,Serum,30.752000000000002
108,Serum,66.468
108,Serum,56.438
108,Serum,39.797
108,Serum,38.07
108,Serum,47.656
108,Serum,41.717999999999996
112,Serum,18.983
112,Serum,31.267999999999997
112,Serum,66.285
112,Serum,47.394
112,Serum,38.389
112,Serum,56.596000000000004
120,Serum,37.032000000000004
120,Serum,33.982
120,Serum,31.444
120,Serum,28.221
120,Serum,19.037
144,Serum,23.833
144,Serum,16.759
144,Serum,13.463
144,Serum,27.605
144,Serum,19.902
144,Serum,18.314
144,Serum,21.569000000000003
168,Serum,16.53
168,Serum,10.176
168,Serum,17.425
168,Serum,16.576
168,Serum,13.464
168,Serum,15.252999999999998
168,Serum,10.876
168,Serum,22.487
192,Serum,10.727
192,Serum,13.96
192,Serum,12.221
192,Serum,17.378
216,Serum,11.184
