Sample,Time,Mean,SD,Dose
Bronchial,54,464.35581552208555,235.48767329537006,500
Bronchial,60,816.2499494565033,203.1749953849939,500
Bronchial,108,522.4387939773719,129.08169995543798,500
Bronchial,156,182.94045334955777,46.08446189164287,500
Bronchial,204,141.6574833447196,34.51499022268988,500
Bronchial,252,122.40487469809696,29.26496454544228,500
Lung,54,5791.555446764237,561.6368527113724,500
Lung,60,7470.249719686269,571.9986872784779,500
Lung,108,8599.749960029174,2175.4999425419437,500
Lung,156,7147.468756743625,391.4219584978305,500
Lung,204,3553.3643880347763,234.49979746851923,500
Lung,252,1307.730485785781,88.47015724856828,500
Plasma,49,78.94488457145277,6.789999999999998,500
Plasma,52,99.83999949919875,9.25000000000001,500
Plasma,54,141.3942997436601,30.833180179799797,500
Plasma,60,183.03499993170715,63.569999999999965,500
Plasma,72,159.4949039938268,41.37998066698437,500
Plasma,96,110.71976110884633,39.24996815285332,500
Plasma,108,89.4448288052473,26.659683043877322,500
Plasma,120,68.57997375327585,16.22498073958794,500
Plasma,144,38.02698894206587,3.255987561401302,500
Plasma,156,29.377402982564675,2.429925719029289,500
Plasma,168,19.93799696559311,4.282999999999998,500
Plasma,204,14.56249957939914,3.0549998363338733,500
Bronchial,54,613.743840261241,236.5006687722519,1000
Bronchial,60,1492.4161041190614,99.06325269906793,1000
Bronchial,108,1048.5665012577924,71.64952920130119,1000
Bronchial,156,473.4081674236226,95.13749018151466,1000
Bronchial,204,313.76456939773914,77.57739452369795,1000
Bronchial,252,196.3224861994828,45.93749435360781,1000
Lung,54,12416.290504691358,5227.871921923186,1000
Lung,60,16347.635775136825,5531.6131694135665,1000
Lung,108,18932.249031042353,7270.203156499612,1000
Lung,156,13996.906353429065,967.9842457312299,1000
Lung,204,6912.199340122235,2252.7492925743118,1000
Lung,252,2704.374300789278,681.5744264319152,1000
Plasma,49,158.79329897700345,11.89462063287435,1000
Plasma,52,217.4149930432582,15.904999214083617,1000
Plasma,54,289.09364538156154,23.548687861534823,1000
Plasma,60,312.14499675631527,84.40492165744841,1000
Plasma,72,253.66999980289341,13.440000000000007,1000
Plasma,96,151.13499925563238,44.51499971919578,1000
Plasma,108,141.32,8.034998444306021,1000
Plasma,120,106.98996214598826,8.810000000000004,1000
Plasma,144,78.3749730462473,6.759992603546247,1000
Plasma,156,57.62486442500322,15.669885130402202,1000
Plasma,168,49.61298544736044,13.816994789027023,1000
Plasma,204,28.542498419024213,8.436999762948918,1000
