x,MNL_250_Mean,MNL_250_MeanSE,MNL_1000_Mean,MNL_1000_MeanSE
47.815,8.7994,11.372,39.341,53.309
47.934,8.7935,11.362,39.314,53.273
47.945,8.793,11.361,39.311,53.269
48.122,8.7843,11.346,39.271,53.216
95.589,8.2853,10.139,35.961,49.333
95.889,8.3308,10.203,36.13,49.575
96.048,8.3562,10.238,36.225,49.711
96.068,8.3595,10.243,36.237,49.728
143.916,9.898,14.205,51.359,73.033
143.998,9.89,14.193,51.339,73.006
144.024,9.887,14.19,51.333,72.997
144.035,9.886,14.188,51.33,72.993
335.751,1.2472,1.4112,10.485,14.779
335.884,1.2461,1.4098,10.473,14.761
335.961,1.2455,1.409,10.465,14.751
336.288,1.2428,1.4055,10.435,14.706
503.243,1.622,1.7136,2.5155,3.3142
503.383,1.6236,1.7152,2.5126,3.3101
504.011,1.6308,1.7228,2.4997,3.292
504.186,1.6328,1.725,2.4961,3.287
