x,MNL_250_Mean,MNL_250_MeanSD,MNL_1000_Mean,MNL_1000_MeanSD
0.9409,7.1473,12.571,4.664,7.8691
0.9642,7.1574,12.6,5.0797,8.5361
0.9769,7.1628,12.616,5.3223,8.9224
0.9962,7.1712,12.64,5.7122,9.5393
1.9546,8.4306,14.696,40.128,62.876
1.9703,8.4662,14.744,40.553,63.497
1.9756,8.4783,14.76,40.694,63.701
1.9841,8.4979,14.786,40.917,64.025
3.959,14.633,21.226,57.46,72.122
3.9657,14.653,21.24,57.526,72.167
3.9714,14.669,21.251,57.582,72.206
3.9871,14.716,21.282,57.742,72.321
5.9634,17.993,22.166,102.694,128.1
5.9708,18.005,22.177,102.805,128.26
5.9758,18.012,22.185,102.88,128.36
5.9832,18.024,22.196,102.989,128.52
8.9683,22.832,29.439,92.995,118.55
8.9693,22.833,29.44,92.985,118.54
8.9752,22.835,29.448,92.926,118.45
8.9856,22.839,29.461,92.824,118.3
11.9745,18.895,24.961,66.708,79.678
11.9752,18.894,24.959,66.703,79.671
11.9794,18.886,24.947,66.673,79.635
11.9806,18.884,24.944,66.665,79.625
15.9657,13.814,16.787,56.142,71.156
15.9667,13.813,16.786,56.143,71.158
15.9833,13.798,16.764,56.157,71.187
15.9956,13.787,16.748,56.167,71.208
23.9447,8.5736,9.9699,78.976,100.817
23.9458,8.5731,9.9692,78.98,100.822
23.9697,8.5612,9.9546,79.079,100.943
23.99,8.5512,9.9423,79.162,101.046
