x,RBC_250_Mean,RBC_250_MeanSD,RBC_1000_Mean,RBC_1000_MeanSD
0.955,0.097961,0.18624,0.11217,0.18424
0.9752,0.096783,0.18306,0.11512,0.18837
0.9759,0.09674,0.18294,0.11523,0.18852
1.0006,0.095318,0.17912,0.11896,0.1937
1.9788,0.06547,0.096579,0.40333,0.55873
1.9802,0.065471,0.096551,0.404,0.55957
1.9879,0.065479,0.096406,0.40767,0.56414
1.9953,0.06549,0.096273,0.41126,0.5686
2.9781,0.085019,0.10819,0.88589,1.1321
2.9861,0.085153,0.10826,0.88593,1.1313
2.987,0.085166,0.10827,0.88592,1.1312
2.988,0.085182,0.10828,0.88591,1.1311
3.9791,0.089259,0.106737,0.5474,0.64521
3.9799,0.089271,0.10675,0.54729,0.64507
3.9897,0.089429,0.10692,0.54582,0.64335
3.9904,0.08944,0.10693,0.54572,0.64323
5.9752,0.11217,0.13349,0.47827,0.58982
5.9925,0.11194,0.13321,0.47696,0.5882
5.9988,0.11186,0.1331,0.47647,0.58761
5.9996,0.11185,0.13309,0.47642,0.58754
8.9786,0.051319,0.058703,0.23333,0.2679
8.9883,0.051219,0.058577,0.23294,0.26741
8.991,0.051191,0.058542,0.23283,0.26727
8.9995,0.051104,0.058432,0.23248,0.26684
11.974,0.043232,0.047712,0.20495,0.23925
11.9835,0.043225,0.047711,0.20498,0.23929
11.9861,0.043223,0.04771,0.20498,0.23931
12.0036,0.043209,0.047708,0.20502,0.23939
15.9975,0.035655,0.043405,0.18563,0.2179
16.0004,0.03565,0.043401,0.18561,0.21787
16.0089,0.035638,0.043389,0.18554,0.21779
16.0165,0.035626,0.043378,0.18547,0.21771
23.9754,0.027879,0.033015,0.12315,0.14731
23.981,0.027875,0.033008,0.12312,0.14727
23.9838,0.027873,0.033005,0.1231,0.14725
23.9908,0.027868,0.032997,0.12305,0.1472
